image_path,predict,category_id
VQIS_POR_TEST/002547_F_SAM.jpg,정상,10
VQIS_POR_TEST/001323_F_SAM.jpg,다리멍,9
VQIS_POR_TEST/001553_F_SAM.jpg,정상,10
VQIS_POR_TEST/001965_F_SAM.jpg,정상,10
VQIS_POR_TEST/002474_F_SAM.jpg,정상,10
VQIS_POR_TEST/001948_B_SAM.JPG,정상,10
VQIS_POR_TEST/002618_F_SAM.jpg,날개멍,8
VQIS_POR_TEST/001273_B_SAM.JPG,피부손상F,3
VQIS_POR_TEST/003070_F_SAM.jpg,정상,10
VQIS_POR_TEST/000632_F_SAM.jpg,정상,10
VQIS_POR_TEST/002655_B_SAM.JPG,피부손상S,5
VQIS_POR_TEST/000667_F_SAM.jpg,날개멍,8
VQIS_POR_TEST/000455_F_SAM.jpg,정상,10
VQIS_POR_TEST/001910_F_SAM.jpg,정상,10
VQIS_POR_TEST/003186_F_SAM.jpg,정상,10
VQIS_POR_TEST/003337_B_SAM.JPG,피부손상C,4
VQIS_POR_TEST/001501_F_SAM.jpg,다리멍,9
VQIS_POR_TEST/000388_F_SAM.jpg,날개멍,8
VQIS_POR_TEST/002206_F_SAM.jpg,정상,10
VQIS_POR_TEST/003001_F_SAM.jpg,날개멍,8
VQIS_POR_TEST/001375_B_SAM.JPG,정상,10
VQIS_POR_TEST/001798_B_SAM.JPG,정상,10
VQIS_POR_TEST/001506_F_SAM.jpg,정상,10
VQIS_POR_TEST/002893_F_SAM.jpg,날개멍,8
VQIS_POR_TEST/001702_F_SAM.jpg,정상,10
VQIS_POR_TEST/003257_B_SAM.JPG,정상,10
VQIS_POR_TEST/003199_B_SAM.JPG,정상,10
VQIS_POR_TEST/001925_F_SAM.jpg,정상,10
VQIS_POR_TEST/002956_F_SAM.jpg,정상,10
VQIS_POR_TEST/001212_F_SAM.jpg,정상,10
VQIS_POR_TEST/003159_B_SAM.JPG,정상,10
VQIS_POR_TEST/002826_B_SAM.JPG,피부손상C,4
VQIS_POR_TEST/003257_F_SAM.jpg,날개멍,8
VQIS_POR_TEST/002946_B_SAM.JPG,피부손상C,4
VQIS_POR_TEST/002071_F_SAM.jpg,날개멍,8
VQIS_POR_TEST/002168_F_SAM.jpg,날개멍,8
VQIS_POR_TEST/002715_F_SAM.jpg,날개멍,8
VQIS_POR_TEST/002935_F_SAM.jpg,정상,10
VQIS_POR_TEST/001558_F_SAM.jpg,날개멍,8
VQIS_POR_TEST/002990_F_SAM.jpg,가슴멍,7
VQIS_POR_TEST/001047_F_SAM.jpg,정상,10
VQIS_POR_TEST/002329_B_SAM.JPG,피부손상C,4
VQIS_POR_TEST/002644_F_SAM.jpg,날개멍,8
VQIS_POR_TEST/002252_F_SAM.jpg,날개멍,8
