image_path,정상,홍계,배꼽,피부손상F,피부손상C,피부손상S,골절C,가슴멍,날개멍,다리멍
VQIS_POR_TEST/002547_F_SAM.jpg,0.025329,0.000002,0.007507,0.000096,0.000154,0.000041,0.002279,0.001364,0.901013,0.001608
VQIS_POR_TEST/001323_F_SAM.jpg,0.011645,0.000017,0.001844,0.000165,0.000218,0.000261,0.000128,0.000595,0.931728,0.840832
VQIS_POR_TEST/001553_F_SAM.jpg,0.001175,0.000654,0.007452,0.000063,0.000094,0.000015,0.000139,0.000623,0.938344,0.437859
VQIS_POR_TEST/001965_F_SAM.jpg,0.144639,0.000000,0.071347,0.000224,0.000099,0.000289,0.001657,0.000111,0.566206,0.003312
VQIS_POR_TEST/002474_F_SAM.jpg,0.007580,0.000039,0.005960,0.000112,0.000140,0.000004,0.000131,0.000474,0.989722,0.185635
VQIS_POR_TEST/001948_B_SAM.JPG,0.010393,0.000285,0.000901,0.000002,0.419052,0.000109,0.000029,0.000134,0.001405,0.000100
VQIS_POR_TEST/002618_F_SAM.jpg,0.000312,0.046178,0.001452,0.000051,0.000204,0.002790,0.000022,0.565039,0.963511,0.002299
VQIS_POR_TEST/001273_B_SAM.JPG,0.695161,0.000356,0.000488,0.047798,0.610890,0.000164,0.000071,0.000445,0.000897,0.000070
VQIS_POR_TEST/003070_F_SAM.jpg,0.068402,0.000001,0.044186,0.000238,0.000143,0.000156,0.001074,0.000257,0.842069,0.000919
VQIS_POR_TEST/000632_F_SAM.jpg,0.454076,0.000001,0.034716,0.000211,0.000216,0.000002,0.000084,0.000470,0.555092,0.001068
VQIS_POR_TEST/002655_B_SAM.JPG,0.004765,0.000113,0.000783,0.999611,0.477218,0.001104,0.000066,0.000174,0.000700,0.000303
VQIS_POR_TEST/000667_F_SAM.jpg,0.030529,0.000129,0.004779,0.000305,0.000178,0.000129,0.000041,0.001527,0.978404,0.006912
VQIS_POR_TEST/000455_F_SAM.jpg,0.002346,0.004295,0.003510,0.000261,0.000372,0.000359,0.000094,0.000372,0.762884,0.142799
